,type,name,url,poster,description,review,IMDB,contentRating,genre,datePublished,keywords,duration,actor,director,creator,RottenTomatoes Audience Score,RottenTomatoes Tomato Meter
265,Movie,14 Cameras,https://www.imdb.comhttps://www.imdb.com/title/tt7476438/,https://m.media-amazon.com/images/M/MV5BMTk4ODY4MTg1Nl5BMl5BanBnXkFtZTgwODUzNDk2NTM@._V1_.jpg,"When a family of five rent a beautiful house for their summer vacation, the price seems too good to be true.","{'author': 'aprilsfriendorin', 'dateCreated': '2018-10-16', 'inLanguage': 'English', 'heading': 'I actually liked it better than the original', 'reviewBody': 'If you&apos;ve seen 13 Cameras (the original) and you didn&apos;t hate it, then you&apos;ll find this one tolerable as well. I actually enjoyed this film more than the original movie. There are definitely engaging moments that keep you on the edge of your seat, and Gerald is as disgusting as ever. This one focuses more on the stalker elements than the original did, which I liked. Overall, it&apos;s not the best horror movie out there, but it&apos;s certainly not the worst.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 6}}",2.3,TV-MA,"['Crime', 'Horror', 'Thriller']",2018-07-27,"tied feet,tied up while barefoot,tape over mouth,hidden camera,smoking a joint",PT1H30M,"[{'name': 'Zach Dulin', 'url': 'https://www.imdb.com/name/nm4657017/'}, {'name': 'Kodi Lane', 'url': 'https://www.imdb.com/name/nm4685356/'}, {'name': 'Neville Archambault', 'url': 'https://www.imdb.com/name/nm3270793/'}]","[{'name': 'Seth Fuller', 'url': 'https://www.imdb.com/name/nm4903618/'}, {'name': 'Scott Hussion', 'url': 'https://www.imdb.com/name/nm2881028/'}]","[{'name': 'Victor Zarcoff', 'url': 'https://www.imdb.com/name/nm7082397/'}]",1.1,1.1
266,Movie,17 Again,https://www.imdb.comhttps://www.imdb.com/title/tt0974661/,https://m.media-amazon.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_.jpg,0,"{'author': 'tavm', 'dateCreated': '2009-04-21', 'inLanguage': 'English', 'heading': '17 Again was a pretty enjoyable comedy for teens and some adults', 'reviewBody': None, 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 7}}",3.2,PG-13,"['Comedy', 'Drama', 'Fantasy']",2009-04-17,"body transformation,adult as child,high school,friend,basketball",PT1H42M,"[{'name': 'Zac Efron', 'url': 'https://www.imdb.com/name/nm1374980/'}, {'name': 'Matthew Perry', 'url': 'https://www.imdb.com/name/nm0001612/'}, {'name': 'Leslie Mann', 'url': 'https://www.imdb.com/name/nm0005182/'}]","[{'name': 'Burr Steers', 'url': 'https://www.imdb.com/name/nm0824882/'}]","[{'name': 'Jason Filardi', 'url': 'https://www.imdb.com/name/nm0276821/'}]",3.35,2.8
267,Movie,1BR,https://www.imdb.comhttps://www.imdb.com/title/tt7541106/,https://m.media-amazon.com/images/M/MV5BNDgxY2M1MjctNzU0Yy00NjkxLTgxZGYtYzZjOGUxOWZlNWRlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,0,"{'author': 'aarpcats', 'dateCreated': '2022-01-08', 'inLanguage': 'English', 'heading': 'Realistic and intelligent cult thriller', 'reviewBody': None, 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 5}}",2.9,TV-MA,"['Drama', 'Horror', 'Thriller']",2020-04-24,"community,apartment building,submission,stockholm syndrome,new tenant",PT1H30M,"[{'name': 'Nicole Brydon Bloom', 'url': 'https://www.imdb.com/name/nm6051296/'}, {'name': 'Giles Matthey', 'url': 'https://www.imdb.com/name/nm4736489/'}, {'name': 'Taylor Nichols', 'url': 'https://www.imdb.com/name/nm0629737/'}]","[{'name': 'David Marmor', 'url': 'https://www.imdb.com/name/nm1646024/'}]","[{'name': 'David Marmor', 'url': 'https://www.imdb.com/name/nm1646024/'}]",2.65,4.4
268,Movie,3 Days to Kill,https://www.imdb.comhttps://www.imdb.com/title/tt2172934/,https://m.media-amazon.com/images/M/MV5BYjE2NmEzMjYtYmNhZC00YWQ4LTgzZDktM2YzMGY1YWM2ZjM2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,"{'author': 'slightlymad22', 'dateCreated': '2016-11-02', 'inLanguage': 'English', 'heading': 'One Of The Most Action Packed Movies Of Costner&apos;s Career', 'reviewBody': 'Continuing my plan to watch every movie in Kevin Costner&apos;s filmography in order I come to 2014&apos;s three days to kill.\n\nPlot In A Paragraph: Ethan Renner (KC) an estranged father, with limited time to live, desperately tries to reconnect with his estranged wife and daughter before his death. Oh and he is a C.I.A. field agent, that is promised an experimental drug if he agrees to one last job. \n\n3 Days To Kill was marketed as an action film like Taken. I guess, that is a fair description. But there is more to it than that!! It is also an melodrama mixed in with foreign intrigue, assassination plots, kidnappings, and murders. There is plenty going on. Maybe it would have been better in Luc Besson&apos;s directed his own script, as it seems uneven at times. \n\nRidiculously implausible, but that doesn&apos;t take away from its entertainment value at times. There is a silly sub-plot about a squatting family of immigrants who have taken shelter in KC&apos;s flat, but the distraction is minimal. The annoying daughters bratty attitude grows tiresome early on (I actually wanted several horrible fates to befall her) but she is worth protection by the ended the movie. \n\nWith the exception of 3000 Miles To Graceland, 3 Days To Kill is without doubt the most action packed/violent movie in KC&apos;s filmography.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 7}}",3.1,PG-13,"['Action', 'Comedy', 'Drama']",2014-02-25,"spy,violence,dirty bomb,massacre,cough syrup",PT1H57M,"[{'name': 'Kevin Costner', 'url': 'https://www.imdb.com/name/nm0000126/'}, {'name': 'Hailee Steinfeld', 'url': 'https://www.imdb.com/name/nm2794962/'}, {'name': 'Connie Nielsen', 'url': 'https://www.imdb.com/name/nm0001567/'}]","[{'name': 'McG', 'url': 'https://www.imdb.com/name/nm0629334/'}]","[{'name': 'Adi Hasak', 'url': 'https://www.imdb.com/name/nm0367867/'}, {'name': 'Luc Besson', 'url': 'https://www.imdb.com/name/nm0000108/'}]",2.15,1.4
269,Movie,3 Idiots,https://www.imdb.comhttps://www.imdb.com/title/tt1187043/,https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,0,"{'author': 'lanacastillo49', 'dateCreated': '2011-03-01', 'inLanguage': 'English', 'heading': 'more than just a laugh...taught me great life lessons as well', 'reviewBody': None, 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 8}}",4.2,13+,"['Comedy', 'Drama']",2009-12-25,"hairy chest,motivation,coming of age,against the system,papadum",PT2H50M,"[{'name': 'Aamir Khan', 'url': 'https://www.imdb.com/name/nm0451148/'}, {'name': 'Madhavan', 'url': 'https://www.imdb.com/name/nm0534856/'}, {'name': 'Mona Singh', 'url': 'https://www.imdb.com/name/nm1587175/'}]","[{'name': 'Rajkumar Hirani', 'url': 'https://www.imdb.com/name/nm0386246/'}]","[{'name': 'Abhijat Joshi', 'url': 'https://www.imdb.com/name/nm0430785/'}, {'name': 'Rajkumar Hirani', 'url': 'https://www.imdb.com/name/nm0386246/'}, {'name': 'Vidhu Vinod Chopra', 'url': 'https://www.imdb.com/name/nm0006765/'}]",4.65,5.0
270,Movie,5 Cowok Jagoan,https://www.imdb.comhttps://www.imdb.com/title/tt10681664/,https://m.media-amazon.com/images/M/MV5BNjg5MmQ5MWItZjUxNS00MzhjLWFhNGItMmJmYmUwYTQwYzdmXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_.jpg,5 lifelong friends attempt to rescue a damsel in distress from gangsters and zombies in this action packed comedy.,"{'author': 'wheckmail', 'dateCreated': '2020-01-18', 'inLanguage': 'English', 'heading': 'What the #@$% did I just watch', 'reviewBody': 'Even though Netflix has thousands of titles i can never find anything to watch, so I tried this one on for size. This movie is comedy gold. It&apos;s so dumb, but damn funny. Terrible effects, but so much fun. Thank you Indonesian film industry.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 10}}",3.25,0,"['Action', 'Comedy']",2017-12-14,"rescue,fight,martial arts,gun,sword",PT1H46M,"[{'name': 'Ario Bayu', 'url': 'https://www.imdb.com/name/nm2523085/'}, {'name': 'Dwi Sasono', 'url': 'https://www.imdb.com/name/nm2682638/'}, {'name': 'Cornelio Sunny', 'url': 'https://www.imdb.com/name/nm5971342/'}]","[{'name': 'Anggy Umbara', 'url': 'https://www.imdb.com/name/nm5322992/'}]","[{'name': 'Isman H.S.', 'url': 'https://www.imdb.com/name/nm7609207/'}, {'name': 'Arie Kriting', 'url': 'https://www.imdb.com/name/nm7609201/'}, {'name': 'Anggy Umbara', 'url': 'https://www.imdb.com/name/nm5322992/'}]",0.0,0.0
271,Movie,6 Balloons,https://www.imdb.comhttps://www.imdb.com/title/tt6142496/,https://m.media-amazon.com/images/M/MV5BMTY1MjgyODM5NF5BMl5BanBnXkFtZTgwNTk2NzIwNTM@._V1_.jpg,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.,"{'author': 'smithers-742-127438', 'dateCreated': '2018-05-17', 'inLanguage': 'English', 'heading': 'Review is Misleading', 'reviewBody': 'The low review for this movie is so misleading. \n\nYes, it could be considered underwhelming in terms of drama and action if that&apos;s what you&apos;re looking for. It isn&apos;t Trainspotting 3 and was never meant to be. It&apos;s focus was on emotion and the hold that drug use can have on a family. It was real and not pumped up for the sake of making it a more exciting movie.\n\nThe performances, music, and story were fantastic. It&apos;s worth a watch. It will suck you in and really gets across the emotions that everyone in a family goes through when a member battles addiction.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 9}}",2.95,TV-MA,['Drama'],2018-04-06,"heroin addict,heroin addiction,heroin,shooting heroin,drug addict",PT1H14M,"[{'name': 'Abbi Jacobson', 'url': 'https://www.imdb.com/name/nm3434305/'}, {'name': 'Dave Franco', 'url': 'https://www.imdb.com/name/nm2002649/'}, {'name': 'Charlotte Carel', 'url': 'https://www.imdb.com/name/nm9753992/'}]","[{'name': 'Marja-Lewis Ryan', 'url': 'https://www.imdb.com/name/nm2903680/'}]","[{'name': 'Marja-Lewis Ryan', 'url': 'https://www.imdb.com/name/nm2903680/'}]",2.8,4.3
272,Movie,6 Days,https://www.imdb.comhttps://www.imdb.com/title/tt4703048/,https://m.media-amazon.com/images/M/MV5BZmI0NjgzOTktMmU1OS00MmU2LWJkMzgtMzlkMWY4ZWRmZTY5XkEyXkFqcGdeQXVyNTEzMzUyNDI@._V1_.jpg,"Based on the Iranian Embassy siege of 1980, this action-thriller dramatizes a six-day standoff between armed Iranian Arabs and SAS soldiers ready for a counterattack.","{'author': 'azanti0029', 'dateCreated': '2017-08-29', 'inLanguage': 'English', 'heading': 'A solid drama documentary of the Iranian Siege of 1980', 'reviewBody': 'The Iranian embassy siege was something I remember well, played out as it was on live television and being a huge fan of the docu-drama genre I anticipated this film most eagerly. First of all it was a right mission to get to see it at all and I expected it to have a much wider UK release. There was also confusing and conflicting information over the exact cinema release date given over the internet (First the 4th of August, then the 18th, then the 4th again!) Seeing it at the cinema resulted in me having to travel half the country!\n\nFor those who don&apos;t know the story, in April of 1980 the Iranian embassy was stormed by six armed men demanding the release of hostages in Iran over the mistreatment of their tribe by the Persians in Iran, but the UK had poor relations with Iran at the time and Iran was not going to give them anything. The UK was on it&apos;s own and for the first time in Television history, the actions of the largely anonymous Special Air Service, would be seen live for all to see. \n\nThe film is basically told from four main perspectives. An always excellent Mark Strong is hostage Negotiator, Max Vernon, a man acutely aware that lives are literally in his hands, and the emotional impact this has on him is one of the stronger aspects of the film and Strongs scenes are all appropriately gripping. Secondly is that of the SAS with Jamie Bell, in a very different role, playing Rusty Firmin, one of the soldiers leading the assault. Bell shows he has left the legacy of Billy Elliot well and truly behind him and is superb in this role. Tension notches up appropriately as he and his team ready themselves to go in. Thirdly is the insight into the upper echelons of the political discussions which went on between Billy Whitelaw (Tim Piggot-Smith in what may well have been his final role) as the options are raked over with an unseen Margaret Thatcher sending down her stance on terrorism. Ronan Vibert is noteworthy as the head of MI6 while Robert Portal plays SAS Colonel Mike Rose with the appropriate level of staunch professionalism while Martin Shaw adds gravitas to the proceedings though he is given very little to say or do.\n\nThose inside the Embassy, both hostages and terrorists are fairly thinly drawn with the exception of the terrorist leader, Salim (A great performance from Ben Turner) and most of our insights into their interactions come via the other characters mentioned above. There is little attempt to humanise the Iranian hostages, we know nothing for example, about the one who is executed, so when this happens, we, the audience, feel little emotional loss. PC Trevor Locke stands out a little as he is given more to do, but just a few more lines of dialogue would have enabled us to emotionally connect with the hostages from the outset. \n\nThe fourth strand of the narrative is that of reporter Kate Adie and her cameraman, as they vie for the best shot over the reporter from a different rag (Either The Sun or The Mail, it wasn&apos;t clear to me) - I remember Kate Adie well from this reporting and felt Abbie Cornish was a little miscast in this role. She felt too glamorous with not a hair out of place and way too much makeup. This story line added very little to film. She spots the SAS leaving to train at one point and indicates she suspects more is afoot, but never vocalises her suspicions, so little is made of this. The interaction between her and the rival reporter could have been the cornerstone of lighter moments in this serious drama but they&apos;re lost and forgotten. This was the weakest element for me.\n\nThe siege unfolds over six days and it is the relationship between Mark Strong&apos;s character and terrorist leader Salim that is the most captivating. \n\nOverall the film is paced well and Toa Fraser does an admirable job of handling the multiple characters and story lines, but the film starting as it does with the Embassy being taken, we have no time to get to know any of the hostages or feel a connection to them. A ten- minute sequence at the beginning of the film giving us an introduction to these characters would have made the emotional stakes a little higher for the viewer. BBC Sound Recordist Sim Harris is given little to say or do, so there is little context of who he is and the moment where he goes out onto the window ledge (An image scorched into the memory of all who saw it live on television) is not as dramatic and meaningful as it could have been. \n\nThe film side steps a few of the more controversial aspects of the raid. The terrorist who was captured was almost executed by the SAS out the back before they realised they were being filmed by the television station. I found the unobtrusive score lacked a dramatic emphasis at the appropriate moments and made it essentially underwhelming.\n\nOverall, however, this is a solidly made drama with good performances and a suitable dour colour palette matching the setting of the 1980s and it shameful that such a drama, covering as it did, a flash point in UK history, did not receive a wider release. I would, despite my reservations, still recommend it.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 7}}",3.1,17+,"['Action', 'Drama', 'History']",2017-11-25,"suspense,tension,year 1980,1980s,inspired by a true story",PT1H34M,"[{'name': 'Jamie Bell', 'url': 'https://www.imdb.com/name/nm0068260/'}, {'name': 'Mark Strong', 'url': 'https://www.imdb.com/name/nm0835016/'}, {'name': 'Abbie Cornish', 'url': 'https://www.imdb.com/name/nm0180411/'}]","[{'name': 'Toa Fraser', 'url': 'https://www.imdb.com/name/nm1089736/'}]","[{'name': 'Glenn Standring', 'url': 'https://www.imdb.com/name/nm0822101/'}, {'name': 'Rusty Firmin', 'url': 'https://www.imdb.com/name/nm7307076/'}]",2.3,3.15
273,Movie,6 Underground,https://www.imdb.comhttps://www.imdb.com/title/tt8106534/,https://m.media-amazon.com/images/M/MV5BNzE2ZjQxNjEtNmI2ZS00ZmU0LTg4M2YtYzVhYmRiYWU0YzI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,0,"{'author': 'TwistedContent', 'dateCreated': '2019-12-13', 'inLanguage': 'English', 'heading': 'By-the-books Blockbuster', 'reviewBody': None, 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 6}}",3.05,18+,"['Action', 'Thriller']",2019-12-13,"yacht,the future,ensemble cast,italy,florence italy",PT2H8M,"[{'name': 'Ryan Reynolds', 'url': 'https://www.imdb.com/name/nm0005351/'}, {'name': 'Mélanie Laurent', 'url': 'https://www.imdb.com/name/nm0491259/'}, {'name': 'Manuel Garcia-Rulfo', 'url': 'https://www.imdb.com/name/nm2636310/'}]","[{'name': 'Michael Bay', 'url': 'https://www.imdb.com/name/nm0000881/'}]","[{'name': 'Paul Wernick', 'url': 'https://www.imdb.com/name/nm1116660/'}, {'name': 'Rhett Reese', 'url': 'https://www.imdb.com/name/nm1014201/'}]",3.0,1.8
0,Movie,65,https://www.imdb.comhttps://www.imdb.com/title/tt12261776/,https://m.media-amazon.com/images/M/MV5BNDgwNzc4MGYtOWMwMi00YjExLWIzMGEtMGQxMzA2NmExNzAxXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,An astronaut crash lands on a mysterious planet only to discover he&apos;s not alone.,"{'author': 'talharaza4', 'dateCreated': '2023-03-06', 'inLanguage': 'English', 'heading': 'It was alright', 'reviewBody': 'The movie was alright. Graphics were good and acting was fine as well, but somehow I felt it didn&apos;t make the connection it supposed to. Too bland. The thrilling moment didn&apos;t make me sit in anticipation that what will happen. I usually like these kinds if movie, but this was just okay. It wasn&apos;t bad and most will enjoy it. Good movie for theatre. Whole family can go, but I felt something missing.\n\nActing was good by all.\n\nStory was simple and simply told Action was good Not that gripping.\n\nDuration was fine of the movie.\n\nI do recommended watching in the cinema. It is better enjoyed there. I guess I had more expectation from Sam Raimi film.', 'reviewRating': {'worstRating': 1, 'bestRating': 10, 'ratingValue': 6}}",2.7,13+,"['Action', 'Adventure', 'Drama']",2023-04-12,"gun,shot in the eye,suicide contemplation,astronaut,written by director",PT1H33M,"[{'name': 'Adam Driver', 'url': 'https://www.imdb.com/name/nm3485845/'}, {'name': 'Ariana Greenblatt', 'url': 'https://www.imdb.com/name/nm7567556/'}, {'name': 'Chloe Coleman', 'url': 'https://www.imdb.com/name/nm5668548/'}]","[{'name': 'Scott Beck', 'url': 'https://www.imdb.com/name/nm1399714/'}, {'name': 'Bryan Woods', 'url': 'https://www.imdb.com/name/nm1456816/'}]","[{'name': 'Scott Beck', 'url': 'https://www.imdb.com/name/nm1399714/'}, {'name': 'Bryan Woods', 'url': 'https://www.imdb.com/name/nm1456816/'}]",3.25,1.7
