title,username,text,clean_text,sentiment
Cargo,moviemenfes,"This MVS is very sad, nangiiis in this scene, The Most Heartbreaking Scene. 
The film about a father who struggled to swallow his son because he was infected (zombie), the title was cargo. : '(https://t.co/iwfirishlp",this mvs is very sad nangiiis in this scene the most heartbreaking scene the film about a father who struggled to swallow his son because he was infected zombie the title was cargo,Positive
Layar,bicaraboxoffice,"If for example there is one film that aired on the entire Indonesian cinema screen, 5 performances a day, and all ticket performances have been sold 100%, then what is the number of viewers in one day?  Around x, xx million. (try to guess first)",if for example there is one film that aired on the entire indonesian cinema screen 5 performances a day and all ticket performances have been sold 100 then what is the number of viewers in one day? around x xx million try to guess first,Neutral
What If,moviemenfes,MVS What if today? How come it's not in DisneyPlus,mvs what if today? how come it s not in disneyplus,Neutral
Layar,WatchmenID,For those who miss seeing Arini on the big screen.,for those who miss seeing arini on the big screen,Neutral
Lightyear,ErikDavis,"NEW TRAILER: Chris Evans stars as Buzz in a new @Pixar film that’s got space rangers, cool spaceships, robot cats &amp  a classic sci-fi vibe. What was the film Andy loved when #ToyStory was made? This is it. #Lightyear opens in theaters this June 17 https://t.co/bESeEEraZb",new trailer chris evans stars as buzz in a new film that s got space rangers cool spaceships robot cats amp a classic sci fi vibe what was the film andy loved when was made? this is it opens in theaters this june 17,Neutral
6 Underground,arulfittron,"125. 6 Underground (2019, Michael Bay) ★★½
With too much characters, too loud action, but less tension, you might find #6Underground is tiring and overlong. It unfocused at first but it get interesting in the last 40 minutes. Just, be patient. https://t.co/EIE73NdkqO",125 6 underground 2019 michael bay with too much characters too loud action but less tension you might find is tiring and overlong it unfocused at first but it get interesting in the last 40 minutes just be patient,Positive
Seasons,GilaFilmID,"From Venom, now the Money Heist Season 5 trailer that follows appears.",from venom now the money heist season 5 trailer that follows appears,Neutral
Turning Red,moviemenfes,"I swear that Turning Red MVS is released in theaters, it will definitely be very crowded with all the laughter https://t.co/8mm9pauyan",i swear that turning red mvs is released in theaters it will definitely be very crowded with all the laughter,Positive
Girl,TarizSolis,"Yes, cool. Ready to continue to episodes 2 and 3! #Girls RT @dinohutasuhut: TarizSolis Crazyaaaa Mas Tariz Serial, I guarantee I will like: D",yes cool ready to continue to episodes 2 and 3! tarizsolis crazyaaaa mas tariz serial i guarantee i will like d,Positive
Seasons,djaycoholyc,Anyway. Corporate season 3 has started.   Anyone watch? If like the Dark Comedy series continues to satir. Suitable. https://t.co/c3kfhbd95x,anyway corporate season 3 has started anyone watch? if like the dark comedy series continues to satir suitable,Neutral
